track,component_or_gamma,logit_contribution,recon_fraction,ablation_pct,note
production,cross_attention,-171.25,,,S-059b_corrected
production,FFN_correction,165.25,,,S-059b_corrected
production,net_margin,-6.005,,,S-059b_corrected
toy,0.00,,1.00,2.5,G-057_F-G057_sealed
toy,0.25,,1.04,2.4,G-057_F-G057_sealed
toy,0.50,,1.14,2.2,G-057_F-G057_sealed
toy,0.75,,1.55,1.6,G-057_F-G057_sealed
toy,0.90,,2.94,0.8,G-057_F-G057_sealed
toy,0.95,,5.31,0.5,G-057_F-G057_sealed
toy,1.00,,9184.0,0.0,G-057_exact_cancellation
toy,1.10,,-1.92,1.3,G-057_over_correction
toy,2.00,,-0.02,51.3,G-057_inversion
